Game_id;Black;White;Resoult;Accuracy;Moves;My_rating;Opponent_rating;Date
1;Aviozek;Jclopeh;Win;72,8;39;1200;1256;22,06,2022
2;Aviozek;elio2500;Win;65;29;1190;1213;22,06,2022
3;khalajbahram;Aviozek;Win;85,9;51;1181;1151;22,06,2022
4;Aviozek;masoudpouradam;Lose;79,8;71;1173;1099;20,06,2022
5;Sabarinaths;Aviozek;Win;83;12;1183;1145;20,06,2022
6;Katzuya;Aviozek;Win;88;39;1176;1104;20,06,2022
7;Aviozek;arames67;Lose;78,8;18;1169;1150;20,06,2022
8;Aviozek;bruno_bresha;Lose;60,5;33;1178;1159;20,06,2022
9;pandayr;Aviozek;Win;75,7;24;1187;1240;20,06,2022
10;pcj101;Aviozek;Lose;69,6;14;1177;1200;20,06,2022
11;Aviozek;Orucov74;Lose;74,5;10;1185;1106;17,06,2022
12;Aviozek;bykl25;Win;84,3;55;1195;1032;17,06,2022
13;ali_ssh;Aviozek;Lose;66,5;21;1187;1264;17,06,2022
14;Aviozek;SIGMA_MALEQ;Win;75,8;72;1194;1108;17,06,2022
15;Aviozek;adi4557;Lose;81,8;26;1188;1236;16,06,2022
16;Smurf54279;Aviozek;Win;81,1;19;1195;1096;16,06,2022
17;Chahatschahat;Aviozek;Win;86,5;23;1189;1090;16,06,2022
18;Aviozek;FUTUREBOY7;Win;77,1;56;1183;1248;15,06,2022
19;Aviozek;Nusharif;Win;83,2;66;1173;1197;15,06,2022
20;Loord306;Aviozek;Win;79,1;24;1164;1210;15,06,2022
21;Aviozek;Knightwatching;Lose;58,6;33;1155;1151;14,06,2022
22;Kevindo3;Aviozek;Win;83,6;15;1164;1217;13,06,2022
23;vladimirmalyuta;Aviozek;Win;74,4;53;1154;1153;13,06,2022
24;aleorofino;Aviozek;Win;76,8;44;1146;1044;12,06,2022
25;Aviozek;Marko_143;Win;94,6;10;1140;987;12,06,2022
26;Aviozek;klepci;Lose;67,1;16;1131;1117;12,06,2022
27;Aviozek;Myname077;Win;99,3;6;1140;1074;12,06,2022
28;matt66458;Aviozek;Lose;70,9;15;1133;1141;12,06,2022
29;Aviozek;SethariusII;Win;75,2;59;1141;1062;11,06,2022
30;Aviozek;ykrishanthi;Win;84,5;10;1135;1110;10,06,2022
31;SissyAvatar;Aviozek;Win;76;38;1127;1164;10,06,2022
32;Aviozek;awesomezorz;Lose;56,1;14;1118;1107;10,06,2022
33;Aviozek;AkshayGujarcr7;Lose;66,6;30;1127;1087;10,06,2022
34;vnaveen8894;Aviozek;Lose;76,5;8;1136;1125;10,06,2022
35;samurainero50;Aviozek;Win;79,3;49;1145;1109;10,06,2022
36;Henrik_Geiran;Aviozek;Lose;73,6;71;1137;1132;10,06,2022
