;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Rating;Score;Accuracy;Moves;Date;;Game_id;Black;White;Resoult;Accuracy;Moves;Rating;Date;;My_rating;Opponent_rating;;;;;;;
Jclopeh(1256);0;76.7;39;22.cze.22;;1256;Lose;76.7;39;22.06.2022;;Jclopeh;Lose;76.7;39;22.06.2022;;Jclopeh;1256;Lose;76.7;39;22.06.2022;;;Jclopeh;Aviozek;;;;;;;;;;;;1200;1256;;
Aviozek(1200);1;88.5;;;;1200;Win;88.5;;;;Aviozek;Win;88.5;;;;Aviozek;1200;Win;88.5;;;;;;;;;39;;22.06.2022;;1200;1256;;;;1190;1213;;
elio2500(1213);0;59.6;29;22.cze.22;;1213;Lose;59.6;29;22.06.2022;;elio2500;Lose;59.6;29;22.06.2022;;elio2500;1213;Lose;59.6;29;22.06.2022;;;elio2500;Aviozek;;;;;;;;1213;;;;1181;1151;;
Aviozek(1190);1;65;;;;1190;Win;65;;;;Aviozek;Win;65;;;;Aviozek;1190;Win;65;;;;;;;;;29;;22.06.2022;;1190;;;;;1173;1099;;
Aviozek(1181);1;85.9;51;22.cze.22;;1181;Win;85.9;51;22.06.2022;;Aviozek;Win;85.9;51;22.06.2022;;Aviozek;1181;Win;85.9;51;22.06.2022;;;Aviozek;khalajbahram;;;;;;;1181;;;;;1183;1145;;
khalajbahram(1151);0;76.6;;;;1151;Lose;76.6;;;;khalajbahram;Lose;76.6;;;;khalajbahram;1151;Lose;76.6;;;;;;;;;51;;22.06.2022;;;1151;;;;1176;1104;;
masoudpouradam(1099);1;83.4;71;20.cze.22;;1099;Win;83.4;71;20.06.2022;;masoudpouradam;Win;83.4;71;20.06.2022;;masoudpouradam;1099;Win;83.4;71;20.06.2022;;;masoudpouradam;Aviozek;;;;;;;;1099;;;;1169;1150;;
Aviozek(1173);0;79.8;;;;1173;Lose;79.8;;;;Aviozek;Lose;79.8;;;;Aviozek;1173;Lose;79.8;;;;;;;;;71;;20.06.2022;;1173;;;;;1178;1159;;
Aviozek(1183);1;83;12;20.cze.22;;1183;Win;83;12;20.06.2022;;Aviozek;Win;83;12;20.06.2022;;Aviozek;1183;Win;83;12;20.06.2022;;;Aviozek;Sabarinaths;;;;;;;1183;;;;;1187;1240;;
Sabarinaths(1145);0;89.9;;;;1145;Lose;89.9;;;;Sabarinaths;Lose;89.9;;;;Sabarinaths;1145;Lose;89.9;;;;;;;;;12;;20.06.2022;;;1145;;;;1177;1200;;
